mack,nam,size,llp,nim,roe,car,lta,eta,gdp,inf,la
ABB,2011,"7,6185","0,0162","0,0551","0,1058","0,14","0,4718","0,1137","0,064","0,1868","0,2223"
ABB,2012,"7,6629","0,0225","0,0478","0,0638","0,12","0,3986","0,1065","0,055","0,0909","0,2875"
ABB,2013,"7,7606","0,0284","0,0286","0,075","0,178","0,399","0,0997","0,056","0,0659","0,3114"
ABB,2014,"7,8291","0,0186","0,0267","0,0245","0,143","0,3779","0,0847","0,064","0,0408","0,307"
ABB,2015,"7,8087","0,0126","0,0279","0,0203","0,1747","0,4743","0,0899","0,07","0,0063","0,2163"
ABB,2016,"7,8702","0,015","0,0293","0,0157","0,151","0,5286","0,0788","0,067","0,0267","0,1973"
ABB,2017,"7,9269","0,0161","0,0299","0,0408","0,134","0,5579","0,0724","0,069","0,0352","0,1887"
ABB,2018,"7,9542","0,0126","0,0253","0,0753","0,128","0,5726","0,0763","0,072","0,0354","0,1364"
ABB,2019,"8,011","0,0131","0,0287","0,0972","0,095","0,5467","0,0765","0,072","0,028","0,2483"
ABB,2020,"8,0658","0,0113","0,0237","0,1195","0,091","0,5379","0,0766","0,029","0,0322","0,2753"
ABB,2021,"8,0823","0,0119","0,0277","0,1087","0,1274","0,5637","0,097","0,026","0,0183","0,2183"
ACB,2011,"8,4487","0,0097","0,0341","0,2001","0,0925","0,3623","0,0426","0,064","0,1868","0,3449"
ACB,2012,"8,2463","0,0148","0,0377","0,261","0,112","0,5746","0,0716","0,055","0,0909","0,2021"
ACB,2013,"8,2217","0,0147","0,0294","0,0624","0,147","0,6341","0,0751","0,056","0,0659","0,0791"
ACB,2014,"8,2543","0,0138","0,0308","0,0664","0,14","0,6389","0,069","0,064","0,0408","0,0642"
ACB,2015,"8,3042","0,0115","0,0342","0,0756","0,1314","0,6642","0,0635","0,07","0,0063","0,0878"
ACB,2016,"8,3686","0,0111","0,0347","0,0766","0,1319","0,6916","0,0602","0,067","0,0267","0,0771"
ACB,2017,"8,4538","0,0094","0,0357","0,0881","0,1149","0,6917","0,0564","0,069","0,0352","0,0821"
ACB,2018,"8,5176","0,0112","0,0369","0,1143","0,1281","0,6923","0,0638","0,072","0,0354","0,1116"
ACB,2019,"8,5838","0,0095","0,0369","0,2106","0,1091","0,694","0,0724","0,072","0,028","0,1311"
ACB,2020,"8,6479","0,0096","0,0381","0,1901","0,1106","0,6941","0,0797","0,029","0,0322","0,1383"
ACB,2021,"8,7224","0,0165","0,0427","0,1912","0,1123","0,6746","0,0851","0,026","0,0183","0,1917"
AGR,2011,"8,7499","0,0414","0,0529","0,0429","0,08","0,7731","0,0567","0,064","0,1868","0,1138"
AGR,2012,"8,7931","0,0338","0,0457","0,1009","0,095","0,7587","0,0646","0,055","0,0909","0,1291"
AGR,2013,"8,8431","0,0329","0,0353","0,0644","0,16","0,7446","0,0568","0,056","0,0659","0,1441"
AGR,2014,"8,8829","0,0282","0,0319","0,0329",0,"0,7116","0,0539","0,064","0,0408","0,0886"
AGR,2015,"8,9419","0,02","0,0328","0,0433","0,0917","0,7066","0,0473","0,07","0,0063","0,1335"
AGR,2016,"9,0011","0,0215","0,0327","0,0687","0,1105","0,7315","0,043","0,067","0,0267","0,0846"
AGR,2017,"9,0618","0,0184","0,0335","0,0743","0,102","0,7498","0,0417","0,069","0,0352","0,0968"
AGR,2018,"9,108","0,0138","0,0356","0,0739","0,0954","0,7741","0,0454","0,072","0,0354","0,0935"
AGR,2019,"9,1621","0,0179","0,0339","0,0905","0,092","0,7599","0,0477","0,072","0,028","0,1275"
AGR,2020,"9,1954","0,0206","0,0321","0,158","0,103","0,7585","0,0466","0,029","0,0322","0,1552"
AGR,2021,"9,2294","0,0286","0,0324","0,141","0,102","0,7548","0,0436","0,026","0,0183","0,19"
BAB,2011,"7,4106","0,0088","0,057","0,0476","0,1604","0,6537","0,1261","0,064","0,1868","0,1279"
BAB,2012,"7,5281","0,0121","0,0284","0,0107","0,1246","0,5813","0,0933","0,055","0,0909","0,0634"
BAB,2013,"7,7016","0,0092","0,0341","0,0517","0,1","0,6311","0,0658","0,056","0,0659","0,0505"
BAB,2014,"7,7573","0,0098","0,0224","0,06",0,"0,6504","0,0721","0,064","0,0408","0,0471"
BAB,2015,"7,8025","0,0117","0,0196","0,0666","0,1091","0,6276","0,079","0,07","0,0063","0,0954"
BAB,2016,"7,8805","0,0093","0,0205","0,0822","0,1296","0,5979","0,0765","0,067","0,0267","0,1662"
BAB,2017,"7,9628","0,0112","0,0208","0,0895","0,114","0,6533","0,0695","0,069","0,0352","0,1441"
BAB,2018,"7,9869","0,0094","0,0189","0,0909","0,1115","0,6699","0,073","0,072","0,0354","0,1552"
